row_type,model,arm,feature,metric,first_window,n_runs,alternative,n_authors,estimate,ci_low,ci_high,wilcoxon_p,window_index
position,flash,c1_pooled,f3,target_rank,,400,,20,9.957500000000001,7.785000000000001,12.3025625,,4
position,flash,c1_pooled,f3,target_hit,,400,,20,0.08,0.03493750000000011,0.1375,,5
position,flash,c1_pooled,f3,target_kl,,400,,20,0.3249698543205519,0.26374970564180805,0.3954226525454136,,5
position,flash,c1_pooled,f3,target_margin,,400,,20,-0.20104588218929056,-0.28056059457621024,-0.13445231634096186,,5
position,flash,c1_pooled,f3,target_rank,,400,,20,10.165000000000001,8.059999999999999,12.4600625,,5
position,flash,c2,f1,target_hit,,400,,20,0.1275,0.042499999999999996,0.225,,1
position,flash,c2,f1,target_kl,,400,,20,0.1309777081019342,0.10962582900982529,0.1527745273405462,,1
position,flash,c2,f1,target_margin,,400,,20,-0.06380895805433458,-0.08565858203791323,-0.04303805237841891,,1
position,flash,c2,f1,target_rank,,400,,20,8.1675,6.272374999999999,10.145,,1
position,flash,c2,f1,target_hit,,400,,20,0.08499999999999999,0.03,0.15256249999999968,,2
position,flash,c2,f1,target_kl,,400,,20,0.16010671786069886,0.13731721703745417,0.18424137966000498,,2
position,flash,c2,f1,target_margin,,400,,20,-0.07792498616165222,-0.10353583735458001,-0.05492041503585189,,2
position,flash,c2,f1,target_rank,,400,,20,9.05,6.997375000000001,11.2201875,,2
position,flash,c2,f1,target_hit,,400,,20,0.0925,0.032499999999999994,0.16999999999999998,,3
position,flash,c2,f1,target_kl,,400,,20,0.1554730819566276,0.13288093476345128,0.18205421490300705,,3
position,flash,c2,f1,target_margin,,400,,20,-0.075587456144289,-0.10191488723062946,-0.05233313039735691,,3
position,flash,c2,f1,target_rank,,400,,20,8.822499999999998,6.831875000000002,11.0200625,,3
position,flash,c2,f1,target_hit,,400,,20,0.095,0.034999999999999996,0.16749999999999998,,4
position,flash,c2,f1,target_kl,,400,,20,0.15168778570469427,0.12985654050359519,0.17599146097603824,,4
position,flash,c2,f1,target_margin,,400,,20,-0.0767812896252094,-0.10009546441260314,-0.05383435890956966,,4
position,flash,c2,f1,target_rank,,400,,20,8.95,6.952500000000001,11.060249999999998,,4
position,flash,c2,f1,target_hit,,400,,20,0.0875,0.032437500000000105,0.15499999999999997,,5
position,flash,c2,f1,target_kl,,400,,20,0.15693458394609672,0.1345691201314947,0.18500342048251603,,5
position,flash,c2,f1,target_margin,,400,,20,-0.07634829943981125,-0.1017262258293494,-0.05360996467109214,,5
position,flash,c2,f1,target_rank,,400,,20,8.8475,6.8,11.107687499999997,,5
position,flash,c2,f3,target_hit,,400,,20,0.13000000000000003,0.045,0.2375,,1
position,flash,c2,f3,target_kl,,400,,20,0.2623718825772696,0.2241323073317179,0.30042112861257964,,1
position,flash,c2,f3,target_margin,,400,,20,-0.12097337564638647,-0.1627194819136699,-0.08102961520819497,,1
position,flash,c2,f3,target_rank,,400,,20,8.235,6.392375,10.187750000000001,,1
position,flash,c2,f3,target_hit,,400,,20,0.0975,0.030000000000000006,0.185,,2
position,flash,c2,f3,target_kl,,400,,20,0.30671060933792477,0.2636660917587785,0.3524301591576103,,2
position,flash,c2,f3,target_margin,,400,,20,-0.14748889005654056,-0.20211323949413806,-0.09929521042314209,,2
position,flash,c2,f3,target_rank,,400,,20,9.135000000000002,7.0574375,11.170374999999996,,2
position,flash,c2,f3,target_hit,,400,,20,0.10500000000000001,0.030000000000000006,0.19749999999999995,,3
position,flash,c2,f3,target_kl,,400,,20,0.2952084617922072,0.25642699859070256,0.3380737748420502,,3
position,flash,c2,f3,target_margin,,400,,20,-0.13921564776419112,-0.1899168345698412,-0.09047359658785557,,3
position,flash,c2,f3,target_rank,,400,,20,8.827499999999997,6.496937500000001,11.057812499999995,,3
position,flash,c2,f3,target_hit,,400,,20,0.1,0.027500000000000004,0.19506249999999967,,4
position,flash,c2,f3,target_kl,,400,,20,0.2913502578416767,0.25171333108537924,0.33805193642931647,,4
position,flash,c2,f3,target_margin,,400,,20,-0.1412684395658173,-0.19003365487028626,-0.09693918999192126,,4
position,flash,c2,f3,target_rank,,400,,20,9.102500000000001,7.0065,11.247687499999998,,4
position,flash,c2,f3,target_hit,,400,,20,0.0975,0.027500000000000004,0.1925,,5
position,flash,c2,f3,target_kl,,400,,20,0.3002233714043325,0.25824291564858465,0.3484146622447659,,5
position,flash,c2,f3,target_margin,,400,,20,-0.141720542683456,-0.19284887355904315,-0.09797545790787104,,5
position,flash,c2,f3,target_rank,,400,,20,9.0875,7.002125,11.2251875,,5
position,flash,old,f1,target_hit,,400,,20,0.1075,0.045,0.1825,,1
position,flash,old,f1,target_kl,,400,,20,0.11401610537952742,0.0986089583839699,0.1307157224302191,,1
position,flash,old,f1,target_margin,,400,,20,-0.06553912187669544,-0.08439251621912426,-0.04794346396553083,,1
position,flash,old,f1,target_rank,,400,,20,8.454999999999998,6.599937499999999,10.385,,1
position,flash,old,f1,target_hit,,400,,20,0.0775,0.0225,0.1375,,2
position,flash,old,f1,target_kl,,400,,20,0.14734021525364793,0.12315660475735273,0.17519730969849953,,2
position,flash,old,f1,target_margin,,400,,20,-0.09497837707464221,-0.12427814308709516,-0.06900836166830877,,2
position,flash,old,f1,target_rank,,400,,20,9.559999999999999,7.319624999999999,11.835062500000001,,2
position,flash,old,f1,target_hit,,400,,20,0.08249999999999999,0.03,0.14756249999999968,,3
position,flash,old,f1,target_kl,,400,,20,0.15859314791016724,0.13021379269345085,0.1921511799636076,,3
position,flash,old,f1,target_margin,,400,,20,-0.10430454099079997,-0.13881453685910278,-0.07367653333121565,,3
position,flash,old,f1,target_rank,,400,,20,9.875,7.699812500000001,12.2625625,,3
position,flash,old,f1,target_hit,,400,,20,0.08249999999999999,0.024999999999999998,0.1575624999999997,,4
position,flash,old,f1,target_kl,,400,,20,0.1560377766516639,0.12960966314147743,0.18537074424720648,,4
position,flash,old,f1,target_margin,,400,,20,-0.10322124393134693,-0.13472796118789343,-0.07379439695239018,,4
position,flash,old,f1,target_rank,,400,,20,9.8975,7.7475000000000005,12.225624999999994,,4
position,flash,old,f1,target_hit,,400,,20,0.075,0.0225,0.135,,5
position,flash,old,f1,target_kl,,400,,20,0.16672848187244654,0.13503036640103006,0.20341006827893704,,5
position,flash,old,f1,target_margin,,400,,20,-0.11040162507808063,-0.146231101422199,-0.07820461403475529,,5
