condition,feature,chunk_size,smoothing_eps,fold,n_calibration_authors,n_test_authors,n_calibration_human,n_test_human,n_test_llm,threshold,empirical_fpr,tpr,auc
pro,f3,4000,0.5,0,16,4,190,35,40,759.4509158613005,0.08571428571428572,0.625,0.9107142857142857
pro,f3,4000,0.5,1,16,4,194,31,40,794.2826650372789,0.03225806451612903,0.375,0.7911290322580645
pro,f3,4000,0.5,2,16,4,183,42,40,815.3735368261822,0.0,0.45,0.888095238095238
pro,f3,4000,0.5,3,16,4,164,61,40,765.7376133437141,0.06557377049180328,0.8,0.9163934426229509
pro,f3,4000,0.5,4,16,4,169,56,40,692.1509538070003,0.14285714285714285,0.45,0.8053571428571429
flash,f3,2000,0.1,0,16,4,409,76,80,443.3357506254126,0.09210526315789473,0.65,0.9310855263157894
flash,f3,2000,0.1,1,16,4,414,71,80,490.1950400736322,0.014084507042253521,0.725,0.9758802816901408
flash,f3,2000,0.1,2,16,4,397,88,80,500.2957654360086,0.0,0.75,0.9855113636363636
flash,f3,2000,0.1,3,16,4,357,128,80,451.5427758750706,0.0625,0.9375,0.95400390625
flash,f3,2000,0.1,4,16,4,363,122,80,442.3830012183111,0.08196721311475409,0.9875,0.9854508196721311
pro,f3,2000,0.1,0,16,4,409,76,40,443.3357506254126,0.09210526315789473,0.475,0.8608552631578947
pro,f3,2000,0.1,1,16,4,414,71,40,490.1950400736322,0.014084507042253521,0.125,0.7345070422535211
pro,f3,2000,0.1,2,16,4,397,88,40,500.2957654360086,0.0,0.35,0.8497159090909091
pro,f3,2000,0.1,3,16,4,357,128,40,451.5427758750706,0.0625,0.6,0.9072265625
pro,f3,2000,0.1,4,16,4,363,122,40,442.3830012183111,0.08196721311475409,0.25,0.7569672131147541
flash,f3,2000,1.0,0,16,4,409,76,80,441.31720308915794,0.09210526315789473,0.65,0.9347039473684211
flash,f3,2000,1.0,1,16,4,414,71,80,480.3156925314006,0.014084507042253521,0.7625,0.9774647887323944
flash,f3,2000,1.0,2,16,4,397,88,80,490.6526467271049,0.0,0.7625,0.9887784090909091
flash,f3,2000,1.0,3,16,4,357,128,80,447.95310035773844,0.0625,0.95,0.9541015625
flash,f3,2000,1.0,4,16,4,363,122,80,437.76673155244606,0.08196721311475409,0.9875,0.9867827868852459
pro,f3,2000,1.0,0,16,4,409,76,40,441.31720308915794,0.09210526315789473,0.475,0.8648026315789473
pro,f3,2000,1.0,1,16,4,414,71,40,480.3156925314006,0.014084507042253521,0.25,0.7464788732394366
pro,f3,2000,1.0,2,16,4,397,88,40,490.6526467271049,0.0,0.35,0.8607954545454546
pro,f3,2000,1.0,3,16,4,357,128,40,447.95310035773844,0.0625,0.6,0.9068359375
pro,f3,2000,1.0,4,16,4,363,122,40,437.76673155244606,0.08196721311475409,0.25,0.7557377049180328
