phase,model,reference,dwell_scale,contrast,feature,n_chunk_sizes,fixed_intercept_rho,implied_delta
sweep,two_state_hsmm,estimated,4.0,0.0,f3,3,-6.414804117119331e-05,-0.002886661852703699
sweep,two_state_hsmm,estimated,4.0,0.25,f1,3,0.00045223099819307363,0.0020350394918688315
sweep,two_state_hsmm,estimated,4.0,0.25,f3,3,-2.8094575372842608e-05,-0.0012642558917779173
sweep,two_state_hsmm,estimated,4.0,0.5,f1,3,0.0010073099617184161,0.004532894827732873
sweep,two_state_hsmm,estimated,4.0,0.5,f3,3,1.7234564803298072e-05,0.0007755554161484133
sweep,two_state_hsmm,estimated,4.0,0.75,f1,3,0.0014705071990734442,0.006617282395830499
sweep,two_state_hsmm,estimated,4.0,0.75,f3,3,5.3238900747161694e-05,0.002395750533622276
sweep,two_state_hsmm,estimated,4.0,1.0,f1,3,0.0017770764640527743,0.007996844088237485
sweep,two_state_hsmm,estimated,4.0,1.0,f3,3,8.066966882094125e-05,0.0036301350969423565
sweep,two_state_hsmm,estimated,4.0,1.25,f1,3,0.0023113600527913353,0.010401120237561009
sweep,two_state_hsmm,estimated,4.0,1.25,f3,3,0.00011141377204745317,0.005013619742135393
sweep,two_state_hsmm,estimated,4.0,1.5,f1,3,0.002488433104515691,0.011197948970320611
sweep,two_state_hsmm,estimated,4.0,1.5,f3,3,0.00012059130422077146,0.0054266086899347156
sweep,two_state_hsmm,estimated,4.0,2.0,f1,3,0.003207409980623574,0.014433344912806083
sweep,two_state_hsmm,estimated,4.0,2.0,f3,3,0.00016292840487069777,0.007331778219181399
tail,two_state_hsmm,estimated,1.0,1.0,f1,3,0.000544621933405147,0.0024507987003231616
tail,two_state_hsmm,estimated,1.0,1.0,f3,3,-1.99284286106408e-05,-0.000896779287478836
