phase,model,reference,dwell_scale,contrast,chunk_size,feature,n_observations,mean_g,uncertainty_method,cluster_unit,se_mean_g,mean_g_ci_low,mean_g_ci_high,phi_ci_low,phi_ci_high,g_q025,g_q975,degrees_of_freedom,phi,rho_at_n,implied_delta_at_n,mean_raw_delta,mean_excess_delta,excess_delta_cv,excess_delta_skew,raw_delta_gamma_shape,raw_delta_gamma_scale,raw_delta_gamma_ks_d
sweep,two_state_hsmm,estimated,0.25,1.0,1000,f3,250,62.60639828209418,monte_carlo_standard_error,independent_simulation_replicate,0.7596103998877726,61.11756189831415,64.09523466587422,0.6790840210923794,0.7121692740652691,41.786672955919805,87.53811963103594,90,0.6956266475788243,-0.00030437335242117566,-0.013696800858952909,0.031334533674721804,-0.013696800858952913,nan,0.6602067789789824,,,
sweep,two_state_hsmm,estimated,0.25,1.0,2000,f1,250,12.746980006542119,monte_carlo_standard_error,independent_simulation_replicate,0.44142684888714956,11.881783382723306,13.612176630360931,1.3201981536359229,1.5124640700401035,3.4886753912678743,29.138559629067466,9,1.416331111838013,0.00020816555591900653,0.0009367450016355296,0.0031867450016355293,0.0009367450016355293,1.8627191236637646,1.3163631228213697,,,
sweep,two_state_hsmm,estimated,0.25,1.0,2000,f3,250,73.17992847488603,monte_carlo_standard_error,independent_simulation_replicate,0.8612032563829732,71.4919700923754,74.86788685739666,0.7943552232486155,0.8318654095266295,48.36642909297214,101.24111587783644,90,0.8131103163876225,-9.344484180618873e-05,-0.004205017881278494,0.018304134185814412,-0.004205017881278494,nan,0.4151731698149467,,,
sweep,two_state_hsmm,estimated,0.25,1.0,4000,f1,250,14.32629453887897,monte_carlo_standard_error,independent_simulation_replicate,0.5531589514085704,13.242102994118174,15.410486083639768,1.4713447771242416,1.7122762315155298,3.9553856912090617,36.2604537657568,9,1.5918105043198856,0.0001479526260799714,0.0006657868173598713,0.0017907868173598713,0.0006657868173598712,1.6420817341145886,2.252323123739341,,,
sweep,two_state_hsmm,estimated,0.25,1.0,4000,f3,250,86.01280153171416,monte_carlo_standard_error,independent_simulation_replicate,1.053704089844136,83.94754151561965,88.07806154780867,0.9327504612846628,0.9786451283089852,59.208983491359085,126.1721059174163,90,0.955697794796824,-1.107555130079399e-05,-0.00049839980853573,0.010754288763655183,-0.0004983998085357313,nan,0.6353096738883811,,,
sweep,two_state_hsmm,estimated,0.25,1.25,1000,f1,250,13.581144980647677,monte_carlo_standard_error,independent_simulation_replicate,0.5965336795938416,12.411938968643748,14.750350992651606,1.3791043298493053,1.6389278880724008,4.149273857804664,35.46894413945483,9,1.509016108960853,0.0005090161089608529,0.0022905724903238387,0.006790572490323838,0.0022905724903238387,2.058879533922707,3.0264504158840695,,,
sweep,two_state_hsmm,estimated,0.25,1.25,1000,f3,250,64.83049914449713,monte_carlo_standard_error,independent_simulation_replicate,0.9073907605735797,63.052013253772905,66.60898503522134,0.7005779250419212,0.7400998337246816,42.40568729870095,97.02247994578114,90,0.7203388793833014,-0.00027966112061669855,-0.012584750427751437,0.032447697269518086,-0.012584750427751434,nan,0.8849841863885967,,,
sweep,two_state_hsmm,estimated,0.25,1.25,2000,f1,250,13.576185005375388,monte_carlo_standard_error,independent_simulation_replicate,0.5084730867684099,12.579577755309305,14.57279225544147,1.397730861701034,1.6191991394934968,4.248162939749101,33.52750526609874,9,1.5084650005972653,0.00025423250029863267,0.001144046251343847,0.0033940462513438476,0.001144046251343847,1.7568488612193907,1.798472211195468,,,
sweep,two_state_hsmm,estimated,0.25,1.25,2000,f3,250,73.71871765991324,monte_carlo_standard_error,independent_simulation_replicate,0.8646085291046078,72.02408494286821,75.41335037695826,0.8002676104763135,0.8379261152995363,51.081764076203875,104.55511398196387,90,0.8190968628879248,-9.045156855603758e-05,-0.0040703205850216905,0.018438898864410518,-0.00407032058502169,nan,0.5002641660282839,,,
sweep,two_state_hsmm,estimated,0.25,1.25,4000,f1,250,13.917308410015853,monte_carlo_standard_error,independent_simulation_replicate,0.4742706489163134,12.987737938139878,14.846878881891827,1.4430819931266532,1.6496532090990919,4.0169590662744685,32.49528527138634,9,1.5463676011128724,0.0001365919002782181,0.0006146635512519816,0.0017396635512519814,0.0006146635512519814,1.5249963525643329,1.3332366420232384,,,
