condition,label,author,fold,observation_index,score,calibrated_threshold,normalised_score,flagged
flash,human,charlotte_bronte,4,36,519.9946949282927,439.09349201689486,1.1842459621521446,1
flash,human,charlotte_bronte,4,37,430.814223263745,439.09349201689486,0.9811446334239194,0
flash,human,charlotte_bronte,4,38,487.330292632532,439.09349201689486,1.1098554214367202,1
flash,human,charlotte_bronte,4,39,615.7805262759726,439.09349201689486,1.4023904646081147,1
flash,human,charlotte_bronte,4,40,726.0397843174446,439.09349201689486,1.6534970285770234,1
flash,human,charlotte_bronte,4,41,825.4335116118737,439.09349201689486,1.8798582229501906,1
flash,human,charlotte_bronte,4,42,141.91901498551047,439.09349201689486,0.3232091059551616,0
flash,human,charlotte_bronte,4,43,149.67385892730206,439.09349201689486,0.3408701373363628,0
flash,human,charlotte_bronte,4,44,231.58509303974003,439.09349201689486,0.5274163640549457,0
flash,human,charlotte_bronte,4,45,204.344801295207,439.09349201689486,0.46537879747792865,0
flash,human,charlotte_bronte,4,46,225.45236660215647,439.09349201689486,0.5134495744097292,0
flash,human,charlotte_bronte,4,47,114.00205908351026,439.09349201689486,0.25963049135586785,0
flash,human,charlotte_bronte,4,48,162.77350925407936,439.09349201689486,0.37070353401597755,0
flash,human,charlotte_bronte,4,49,118.89239010278581,439.09349201689486,0.27076782567802493,0
flash,human,charlotte_bronte,4,50,181.9645822359798,439.09349201689486,0.4144096543088332,0
flash,human,charlotte_bronte,4,51,141.26936536147414,439.09349201689486,0.3217295813531178,0
flash,human,charlotte_bronte,4,52,182.5176660612599,439.09349201689486,0.41566925809557936,0
flash,human,charlotte_bronte,4,53,148.49969498269698,439.09349201689486,0.3381960736894347,0
flash,human,charlotte_bronte,4,54,151.6508641706086,439.09349201689486,0.3453726072641805,0
flash,human,charlotte_bronte,4,55,164.61943245197784,439.09349201689486,0.3749074751616766,0
flash,human,charlotte_bronte,4,56,120.82439962640537,439.09349201689486,0.2751678214847157,0
flash,human,charlotte_bronte,4,57,160.45672669774865,439.09349201689486,0.36542724867253285,0
flash,human,charlotte_bronte,4,58,124.16719757210556,439.09349201689486,0.28278077409384156,0
flash,human,charlotte_bronte,4,59,277.0963794647787,439.09349201689486,0.6310646468295116,0
flash,human,charlotte_bronte,4,60,309.3357455134211,439.09349201689486,0.7044872017859898,0
flash,human,oscar_wilde,3,1,947.3753516659132,448.9392291876774,2.110252992103451,1
flash,human,oscar_wilde,3,2,1143.7039268755007,448.9392291876774,2.547569587413755,1
flash,human,oscar_wilde,3,3,1159.2125411064935,448.9392291876774,2.5821146064780383,1
