condition,feature,chunk_size,smoothing_eps,fold,n_calibration_authors,n_test_authors,n_calibration_human,n_test_human,n_test_llm,threshold,empirical_fpr,tpr,auc
flash,f1,4000,0.5,1,16,4,194,31,80,661.3376725078452,0.0,0.675,0.980241935483871
flash,f1,4000,0.5,2,16,4,183,42,80,679.7498181589751,0.0,0.8625,0.9988095238095238
flash,f1,4000,0.5,3,16,4,164,61,80,613.8892961900433,0.06557377049180328,0.8875,0.9604508196721312
flash,f1,4000,0.5,4,16,4,169,56,80,529.5347604565413,0.14285714285714285,1.0,0.9944196428571429
pro,f1,4000,0.5,0,16,4,190,35,40,637.7588650182204,0.05714285714285714,0.85,0.9692857142857143
pro,f1,4000,0.5,1,16,4,194,31,40,661.3376725078452,0.0,0.575,0.9483870967741935
pro,f1,4000,0.5,2,16,4,183,42,40,679.7498181589751,0.0,0.75,0.9696428571428571
pro,f1,4000,0.5,3,16,4,164,61,40,613.8892961900433,0.06557377049180328,1.0,0.9688524590163935
pro,f1,4000,0.5,4,16,4,169,56,40,529.5347604565413,0.14285714285714285,1.0,0.9883928571428572
flash,f3,1000,0.5,0,16,4,846,157,80,298.80580557981006,0.06369426751592357,0.45,0.8503980891719746
flash,f3,1000,0.5,1,16,4,855,148,80,318.1576567375748,0.02702702702702703,0.375,0.8777027027027027
flash,f3,1000,0.5,2,16,4,820,183,80,324.7222817120872,0.00546448087431694,0.4,0.9525956284153005
flash,f3,1000,0.5,3,16,4,737,266,80,291.5222191682427,0.07894736842105263,0.6,0.9305921052631579
flash,f3,1000,0.5,4,16,4,754,249,80,300.46106743085437,0.05622489959839357,0.8125,0.9487449799196788
pro,f3,1000,0.5,0,16,4,846,157,40,298.80580557981006,0.06369426751592357,0.425,0.8727707006369426
pro,f3,1000,0.5,1,16,4,855,148,40,318.1576567375748,0.02702702702702703,0.1,0.7584459459459459
pro,f3,1000,0.5,2,16,4,820,183,40,324.7222817120872,0.00546448087431694,0.35,0.8274590163934427
pro,f3,1000,0.5,3,16,4,737,266,40,291.5222191682427,0.07894736842105263,0.7,0.9241541353383459
pro,f3,1000,0.5,4,16,4,754,249,40,300.46106743085437,0.05622489959839357,0.375,0.8191767068273093
flash,f3,2000,0.5,0,16,4,409,76,80,441.8837615060074,0.09210526315789473,0.5875,0.9254934210526315
flash,f3,2000,0.5,1,16,4,414,71,80,483.8554732139631,0.014084507042253521,0.5125,0.9323943661971831
flash,f3,2000,0.5,2,16,4,397,88,80,490.58141011645677,0.0,0.8125,0.9946022727272728
flash,f3,2000,0.5,3,16,4,357,128,80,448.9392291876774,0.0625,0.875,0.95048828125
flash,f3,2000,0.5,4,16,4,363,122,80,439.09349201689486,0.08196721311475409,0.9875,0.9879098360655738
pro,f3,2000,0.5,0,16,4,409,76,40,441.8837615060074,0.09210526315789473,0.775,0.937828947368421
pro,f3,2000,0.5,1,16,4,414,71,40,483.8554732139631,0.014084507042253521,0.325,0.8894366197183099
pro,f3,2000,0.5,2,16,4,397,88,40,490.58141011645677,0.0,0.725,0.91875
pro,f3,2000,0.5,3,16,4,357,128,40,448.9392291876774,0.0625,0.925,0.956640625
