corpus_variant,feature,author,n_documents,n_marks,consistency_C,nearest_other_D,nearest_other,ratio_D_over_C,margin_D_minus_C,between_author_baseline,C_over_baseline
all_documents,f1,"Baker, George M. (George Melville)",19,103804,0.1733192636355095,0.024065789091040443,"Shaw, Bernard",0.13885236174122462,-0.14925347454446908,0.16891442246323624,1.0260773538934012
all_documents,f1,"Baldwin, James",11,105298,0.11168629723220826,0.006785763455995052,"Seton, Ernest Thompson",0.06075735004345872,-0.10490053377621321,0.16891442246323624,0.6612004801219178
all_documents,f1,"Ballantyne, R. M. (Robert Michael)",91,1109394,0.04675585975495801,0.005201538639097581,"Yonge, Charlotte M. (Charlotte Mary)",0.11124891438973075,-0.04155432111586043,0.16891442246323624,0.27680205794821516
all_documents,f1,"Ballou, Maturin Murray",19,227897,0.12181172111704386,0.0058267234479421025,"Skinner, Charles M. (Charles Montgomery)",0.047833848783266464,-0.11598499766910175,0.16891442246323624,0.7211445851733345
all_documents,f1,"Balzac, Honoré de",119,1150655,0.1307843642567235,0.005493074259483701,"Gaskell, Elizabeth Cleghorn",0.04200100134830382,-0.1252912899972398,0.16891442246323624,0.7742640465481173
all_documents,f1,"Bangs, John Kendrick",37,241446,0.10230948206633136,0.004634879993507668,"Nesbit, E. (Edith)",0.04530254576504149,-0.09767460207282369,0.16891442246323624,0.6056882566590709
all_documents,f1,"Barbour, Ralph Henry",32,420072,0.022489391511137945,0.0022836390929154376,"Fletcher, J. S. (Joseph Smith)",0.10154294711728673,-0.02020575241822251,0.16891442246323624,0.133140741821692
all_documents,f1,"Baring-Gould, S. (Sabine)",57,974321,0.10545502895912591,0.002925199676077477,"Conwell, Russell H.",0.027738835264189028,-0.10252982928304843,0.16891442246323624,0.6243103899673097
all_documents,f1,"Barr, Amelia E.",26,396291,0.03367577272420525,0.0034921502346264583,"Meade, L. T.",0.10369918645152257,-0.030183622489578794,0.16891442246323624,0.19936588145121054
all_documents,f1,"Barr, Robert",20,302898,0.017005694347028016,0.0030374392674635403,"Glasgow, Ellen Anderson Gholson",0.17861306956833406,-0.013968255079564475,0.16891442246323624,0.10067639044101909
all_documents,f1,"Barrie, J. M. (James Matthew)",25,216213,0.26676458335951636,0.010124840163836153,"Jerome, Jerome K. (Jerome Klapka)",0.037954214297596586,-0.2566397431956802,0.16891442246323624,1.579288372593388
all_documents,f1,"Bassett, Sara Ware",16,146619,0.01879626856841406,0.006378106486192742,"Brand, Max",0.33932833333264595,-0.012418162082221318,0.16891442246323624,0.11127687200603026
all_documents,f1,"Bates, Arlo",14,155662,0.07543520194601899,0.00292190717921837,"Page, Thomas Nelson",0.0387340008887266,-0.07251329476680063,0.16891442246323624,0.44658828326182304
all_documents,f1,"Baum, L. Frank (Lyman Frank)",54,454218,0.08860306470779462,0.003171496114807346,"Kyne, Peter B. (Peter Bernard)",0.03579442906706073,-0.08543156859298728,0.16891442246323624,0.5245441059189534
all_documents,f1,"Beach, Rex",16,301372,0.01965790610780031,0.003904872856579543,"Rice, Alice Caldwell Hegan",0.19864134232638742,-0.015753033251220766,0.16891442246323624,0.11637790202360487
all_documents,f1,"Beaumont, Francis",10,150259,0.0801055048595956,0.014817657957521125,"Fletcher, John",0.18497677511043314,-0.06528784690207447,0.16891442246323624,0.47423721249753165
all_documents,f1,"Becke, Louis",39,156598,0.08591413604805628,0.006071462073689624,"Boldrewood, Rolf",0.07066895336401378,-0.07984267397436666,0.16891442246323624,0.5086252245083173
all_documents,f1,"Beerbohm, Max, Sir",10,60881,0.055264437058505804,0.008150305221156074,"Wells, H. G. (Herbert George)",0.1474782998789572,-0.04711413183734973,0.16891442246323624,0.3271741764415289
all_documents,f1,"Beers, Henry A. (Henry Augustin)",10,159308,0.08681008564506999,0.00790028466221133,"Atkinson, William Walker",0.09100652998445685,-0.07890980098285866,0.16891442246323624,0.5139293873142418
all_documents,f1,"Bellamy, Edward",20,70214,0.051163574457061566,0.005722805963661441,"Munroe, Kirk",0.11185313036453774,-0.045440768493400126,0.16891442246323624,0.30289642359104757
all_documents,f1,"Belloc, Hilaire",27,182245,0.13485809168736201,0.008896427368139996,"Franklin, Benjamin",0.06596880659385534,-0.125961664319222,0.16891442246323624,0.7983811549112303
all_documents,f1,"Bennett, Arnold",44,593304,0.17187727031407563,0.010032606435037516,"Hay, Ian",0.05837075732413415,-0.16184466387903812,0.16891442246323624,1.0175405261885453
all_documents,f1,"Benson, Arthur Christopher",16,170828,0.07831333522025506,0.010552084895369566,"Wairy, Louis Constant",0.13474186568215984,-0.0677612503248855,0.16891442246323624,0.46362728580680995
all_documents,f1,"Benson, E. F. (Edward Frederic)",28,395249,0.07680933928459024,0.004201270515399793,"Churchill, Winston",0.05469739167828861,-0.07260806876919045,0.16891442246323624,0.45472339285479063
all_documents,f1,"Benson, Robert Hugh",11,197957,0.07316868728533976,0.016234059156760995,"Moore, George Augustus",0.22187167433320465,-0.05693462812857877,0.16891442246323624,0.43317015929332336
all_documents,f1,"Bensusan, S. L. (Samuel Levy)",11,31013,0.04479298911585036,0.0067945011062166445,"Morris, Charles",0.1516867090214427,-0.03799848800963372,0.16891442246323624,0.26518155443830993
all_documents,f1,"Besant, Annie",17,123182,0.09419698959438956,0.005668822603748128,"Huxley, Thomas Henry",0.06018050712828478,-0.08852816699064144,0.16891442246323624,0.5576610227873897
all_documents,f1,"Besant, Walter",19,411745,0.15684142247642457,0.005805997794245561,"Moody, Dwight Lyman",0.03701826789487504,-0.151035424682179,0.16891442246323624,0.9285259375087446
all_documents,f1,"Bierce, Ambrose",17,105396,0.09083399966545294,0.007398079110887326,"Allen, Grant",0.08144614503528298,-0.08343592055456561,0.16891442246323624,0.5377515924386073
all_documents,f1,"Bindloss, Harold",43,762951,0.03045143555699289,0.0024536372764305857,"Freeman, Mary Eleanor Wilkins",0.08057542219441048,-0.027997798280562307,0.16891442246323624,0.18027729730195516
all_documents,f1,"Birmingham, George A.",15,200093,0.05864484879908908,0.007546145838215756,"Chase, Josephine",0.12867533965460526,-0.05109870296087332,0.16891442246323624,0.3471867466607416
all_documents,f1,"Bjørnson, Bjørnstjerne",16,162661,0.1826665562113296,0.02198785785628309,"Phelps, Elizabeth Stuart",0.12037155740126297,-0.1606786983550465,0.16891442246323624,1.0814147989706828
all_documents,f1,"Black, William",20,317590,0.04049359309029597,0.009059293516835723,Pansy,0.22372165138901254,-0.03143429957346025,0.16891442246323624,0.23972845243045657
all_documents,f1,"Blackmore, R. D. (Richard Doddridge)",23,473815,0.02617320497662098,0.009908779339642695,"Mackintosh, Charles Henry",0.37858486755800974,-0.016264425636978285,0.16891442246323624,0.15494949806501873
