contrast,left,right,rival_mode,window_policy,feature,test_chunk_size,n_authors,accuracy_difference,accuracy_ci_low,accuracy_ci_high,accuracy_wilcoxon_p,kl_true_difference,kl_true_ci_low,kl_true_ci_high,kl_true_wilcoxon_p,margin_difference,margin_ci_low,margin_ci_high,margin_wilcoxon_p,gap_low,gap_high
P3a,two_books N=1000,one_book N=2000,asymmetric,random,f3,1000,19,0.042294867960431824,0.01750808611580804,0.07037026179351324,0.00457763671875,-0.008527070971741699,-0.019025707040215962,0.0009554743219379573,0.09551239013671875,0.0052971662212247875,-0.00794270594286122,0.017966559775365504,0.1336212158203125,,
P3b,two_books N=2000,one_book N=4000,asymmetric,random,f3,1000,18,0.03682919703688198,-0.0031964294821467624,0.0798916715735072,0.055308752861952165,-0.01628040779008696,-0.03612662058608677,-0.0018582758403675923,0.03849029541015625,0.016280407790086975,0.0018582758403675958,0.03612662058608678,0.03849029541015625,,
two_books_500_vs_one_book_1000,two_books N=500,one_book N=1000,asymmetric,random,f3,1000,20,0.01745738977929278,-0.006808209845246701,0.04371008781361441,0.34881019592285156,-0.006818854488848477,-0.015863202504351966,0.0008716863832635944,0.38837623596191406,0.006818854488848479,-0.0008716863832636026,0.01586320250435195,0.38837623596191406,,
P3a,two_books N=1000,one_book N=2000,asymmetric,random,f1,2000,18,0.034159610463423744,0.006823028552945935,0.06398279527108981,0.06837655952437323,-0.004502720654269783,-0.009754463596089981,-0.00014590040531824454,0.04827880859375,0.004502720654269783,0.00014590040531824627,0.009754463596089976,0.04827880859375,,
P3b,two_books N=2000,one_book N=4000,asymmetric,random,f1,2000,17,0.008783904969144966,-0.033786118465430066,0.045910065254327545,0.4037628173828125,-0.0030480662793789582,-0.008445916766664036,0.0010884697652126128,0.190093994140625,0.0030480662793789582,-0.0010884697652126145,0.008445916766664032,0.190093994140625,,
two_books_500_vs_one_book_1000,two_books N=500,one_book N=1000,asymmetric,random,f1,2000,20,0.008269664574269711,-0.016488002479889997,0.03171999170612347,0.4304332733154297,-0.0030857680637366935,-0.008106147593724276,0.0013641070447604612,0.5958194732666016,0.003085768063736691,-0.0013641070447604586,0.008106147593724262,0.5958194732666016,,
P3a,two_books N=1000,one_book N=2000,asymmetric,random,f1,1000,19,0.04230964626344644,0.020021189235773108,0.06705472187027356,0.003917694091796875,-0.005880379248423524,-0.011616522059262516,-0.001123152140964228,0.0289306640625,0.004023685532975646,-0.00011149649743502136,0.008888137163777196,0.11337661743164062,,
P3b,two_books N=2000,one_book N=4000,asymmetric,random,f1,1000,18,0.0166404528917127,-0.016963380803654178,0.047288724247435646,0.1476602555616499,-0.006721846293860669,-0.015949145645358286,0.00033834878683850985,0.0987396240234375,0.0067218462938606685,-0.00033834878683850704,0.01594914564535828,0.0987396240234375,,
two_books_500_vs_one_book_1000,two_books N=500,one_book N=1000,asymmetric,random,f1,1000,20,0.012768368033349789,-0.009405564653441612,0.03367211025742928,0.2305126190185547,-0.003466448732142799,-0.00833507301836609,0.0007928648515208821,0.5458755493164062,0.003466448732142799,-0.0007928648515208792,0.008335073018366088,0.5458755493164062,,
P3a,two_books N=1000,one_book N=2000,asymmetric,middle,f3,2000,18,0.03216483387055123,-0.02223070689832918,0.0839945373027163,0.24549352944751968,-0.003910448170279014,-0.021176170757367167,0.015605074104106978,0.34654998779296875,0.00391044817027902,-0.015605074104106982,0.02117617075736718,0.34654998779296875,,
P3b,two_books N=2000,one_book N=4000,asymmetric,middle,f3,2000,17,0.028858221934688635,-0.028528644104213,0.0862574069193753,0.24549352944751968,-0.00437299726026151,-0.0145118649390856,0.004625503484946727,0.2068939208984375,0.004372997260261503,-0.004625503484946745,0.014511864939085593,0.2068939208984375,,
two_books_500_vs_one_book_1000,two_books N=500,one_book N=1000,asymmetric,middle,f3,2000,20,-0.004371459528243209,-0.0865863676079876,0.06699292356586588,0.7112498505312588,-0.02503909273806789,-0.048575842557866136,-0.005609079647991983,0.039989471435546875,0.02503909273806789,0.0056090796479919824,0.04857584255786614,0.039989471435546875,,
P3a,two_books N=1000,one_book N=2000,asymmetric,middle,f3,1000,19,0.04842274621778583,-0.00042636969871090354,0.09786881114368663,0.08538899791882958,0.003701924969446254,-0.017634848713866873,0.028936973983725457,0.48996734619140625,-0.006931829719963186,-0.03808223238842673,0.01757767823105627,0.48996734619140625,,
P3b,two_books N=2000,one_book N=4000,asymmetric,middle,f3,1000,18,0.03771091284797149,-0.003094082886258324,0.08047856259214001,0.09798930270791739,-0.013420782075603698,-0.03129584892512363,0.0007827957507121215,0.0987396240234375,0.013420782075603694,-0.0007827957507121429,0.03129584892512362,0.0987396240234375,,
