rival_mode,window_policy,feature,test_chunk_size,budget_n,design,reference_marks,predicted_n_eff,n_authors,n_chunk_observations,macro_accuracy,macro_accuracy_ci_low,macro_accuracy_ci_high,macro_kl_true,macro_kl_true_ci_low,macro_kl_true_ci_high,macro_margin,macro_margin_ci_low,macro_margin_ci_high
asymmetric,middle,f3,2000,4000,two_books,8000,2274.7723511273434,17,464,0.7148099452680952,0.591974147934992,0.8252207529072935,0.06880773849089705,0.050094547622600356,0.09123034903924959,0.013665455503473017,-0.00862028168715983,0.03158224116919212
asymmetric,random,f1,1000,500,one_book,1000,613.794846112894,20,20060,0.38369057878642615,0.2818196252769697,0.4897496517739685,0.06813629291426755,0.04541076348026281,0.09413862587101718,-0.036428492195329135,-0.06090264903050202,-0.015395067451999669
asymmetric,random,f1,1000,500,two_books,1000,760.68509896574,20,20060,0.4371225857765781,0.33433899295777175,0.5422097539949832,0.056772581300021094,0.03758070682767548,0.07883563074300186,-0.02506478058108267,-0.04698427205741958,-0.00708138234341211
asymmetric,random,f1,1000,1000,one_book,2000,885.5757668938548,20,20060,0.42435421774322835,0.31494459738917957,0.5365744441737248,0.06023903003216389,0.040213962267621764,0.08281777259448314,-0.028531229313225465,-0.05005336727637732,-0.009495251219275571
asymmetric,random,f1,1000,1000,two_books,2000,1227.589692225788,20,20060,0.48673009257049216,0.3794500625975725,0.5910404252621281,0.050733521141715324,0.033896052598486645,0.07002324595772341,-0.019025720422776907,-0.03810474254300608,-0.003305310617386555
asymmetric,random,f1,1000,2000,one_book,4000,1137.3861755636717,19,19540,0.4375816792493525,0.3197437755288783,0.5628899556607692,0.057886045527508194,0.03725389153010744,0.0835722009462867,-0.02440522065141189,-0.046042460784110395,-0.0068179775280639374
asymmetric,random,f1,1000,2000,two_books,4000,1771.1515337877097,19,19540,0.4954447682548559,0.37007611241596966,0.618968065147428,0.04538602111687238,0.030928684171111314,0.0618747289478526,-0.011905196240776067,-0.025322374591287954,0.00016908086090480055
asymmetric,random,f1,1000,4000,one_book,8000,1325.8926754860408,18,19180,0.48904507409335124,0.3585907274252565,0.6184918692514924,0.046936347587972965,0.030235298946333086,0.0672347223183972,-0.014378070474039661,-0.03247235724770057,0.001204640651955748
asymmetric,random,f1,1000,4000,two_books,8000,2274.7723511273434,18,19180,0.5387467148673035,0.40499134109642515,0.6676734217746247,0.03814398181093697,0.0268300554303785,0.051352173811102964,-0.0055857046970036696,-0.017127377013624906,0.004460128830937383
asymmetric,random,f1,2000,500,one_book,1000,613.794846112894,20,9700,0.4249570168417736,0.3037394471514486,0.5517824427718434,0.0604277872236235,0.039207823468992285,0.08454201725953697,-0.031118701832173135,-0.05490814078310321,-0.010435752004171368
asymmetric,random,f1,2000,500,two_books,1000,760.68509896574,20,9700,0.48826150472891977,0.3666445439186641,0.6105796664613448,0.04942144737631691,0.03127583475383427,0.0706155367372457,-0.020112361984866538,-0.04179329551692961,-0.0023688744557077584
asymmetric,random,f1,2000,1000,one_book,2000,885.5757668938548,20,9700,0.4799918401546501,0.34863556834822734,0.6144324586906003,0.052507215440053615,0.03350817221253455,0.07361386850466611,-0.02319813004860323,-0.0437862804281913,-0.0046695929608358755
asymmetric,random,f1,2000,1000,two_books,2000,1227.589692225788,20,9700,0.553938597857239,0.4238294861474093,0.6811052492754989,0.043060475867542636,0.02740242562608292,0.061501236720208095,-0.013751390476092256,-0.032630642718594456,0.0015389368321080115
asymmetric,random,f1,2000,2000,one_book,4000,1137.3861755636717,18,9460,0.520216609377953,0.3846431568491189,0.6542161473425503,0.04182639323044743,0.026973557029950072,0.05802212833285677,-0.012513061300457652,-0.02830899230820186,0.001117355858211252
asymmetric,random,f1,2000,2000,two_books,4000,1771.1515337877097,18,9460,0.5852408991281659,0.45066692168641587,0.7146665157411297,0.03433110534477926,0.021926217053501718,0.04831130640325554,-0.0050177734147894785,-0.018629646725886174,0.006461355274873918
asymmetric,random,f1,2000,4000,one_book,8000,1325.8926754860408,17,9280,0.5878437137155798,0.437390912494628,0.732921532395881,0.03301103784615794,0.020932843595407497,0.0478849343628567,-0.004537937943133955,-0.019817422131331953,0.008514496472387207
asymmetric,random,f1,2000,4000,two_books,8000,2274.7723511273434,17,9280,0.6366098384289195,0.49481888485816966,0.774251049732661,0.027792148162212867,0.018526032929712492,0.03864138601722344,0.0006809517408111243,-0.010714465070911465,0.01068710444230318
asymmetric,random,f3,1000,500,one_book,1000,613.794846112894,20,20060,0.433972200212221,0.33343788388749096,0.5313659499690719,0.15040521302280568,0.10749141688670516,0.1994163446773945,-0.05499486030243343,-0.09705088404695618,-0.019357722157239715
asymmetric,random,f3,1000,500,two_books,1000,760.68509896574,20,20060,0.49922825857702885,0.39658189258641546,0.5938910572092672,0.13162221604285634,0.09331841531535785,0.17689894509928297,-0.0362118633224841,-0.07712313669571287,-0.0046959547883416225
asymmetric,random,f3,1000,1000,one_book,2000,885.5757668938548,20,20060,0.481770868797736,0.37657693729492836,0.582325197904773,0.13844107053170485,0.09853212248436086,0.18436987276963213,-0.04303071781133258,-0.08185594881240217,-0.009461277460060319
asymmetric,random,f3,1000,1000,two_books,2000,1227.589692225788,20,20060,0.5622156722056431,0.4557411532762036,0.6621610117335217,0.12081616692209743,0.08429905896657726,0.16313223120261283,-0.025405814201725153,-0.06323902759832226,0.0039086596405526345
asymmetric,random,f3,1000,2000,one_book,4000,1137.3861755636717,19,19540,0.5003882957648064,0.3812176762129544,0.6153945444039323,0.1328762867927198,0.09406289724708247,0.17832672468170646,-0.03396677242896975,-0.06896325186268035,-0.005201611428340102
asymmetric,random,f3,1000,2000,two_books,4000,1771.1515337877097,19,19540,0.5865933228735687,0.47462968006948725,0.6864378010080893,0.10707012123624153,0.07786777615649187,0.14337761480550854,-0.008160606872491481,-0.03240671502625004,0.012626663654561924
asymmetric,random,f3,1000,4000,one_book,8000,1325.8926754860408,18,19180,0.5528773351321319,0.42098766525898373,0.6726133415273077,0.10993875339476825,0.07928771510140327,0.14814492856560973,-0.016324543510589325,-0.048251781533958475,0.009986259191375165
asymmetric,random,f3,1000,4000,two_books,8000,2274.7723511273434,18,19180,0.6090177101885303,0.4681329580814495,0.7253505704536135,0.08981221598922315,0.06960818124659741,0.11386428622827648,0.0038019938949557866,-0.01608084041485833,0.020339205435584738
asymmetric,random,f3,2000,500,one_book,1000,613.794846112894,20,9700,0.4579743995391142,0.34146796554369246,0.5695335246902478,0.1350396314006652,0.09426592005405067,0.18061555341424287,-0.04777021060122429,-0.08804750429757062,-0.013286304547634282
asymmetric,random,f3,2000,500,two_books,1000,760.68509896574,20,9700,0.5296883876750467,0.4140567507474178,0.6370307580808703,0.11681380286991949,0.07977417080157774,0.16088557201770842,-0.02954438207047857,-0.07227829239920693,0.002413059803600682
asymmetric,random,f3,2000,1000,one_book,2000,885.5757668938548,20,9700,0.5157002044257959,0.3951316287003215,0.6305926798898053,0.12213382649019189,0.08363046068773126,0.16548413801009784,-0.03486440569075098,-0.07504860347762898,-0.001299635816658582
asymmetric,random,f3,2000,1000,two_books,2000,1227.589692225788,20,9700,0.6090340538512653,0.48888206822286406,0.7206002372662387,0.10441616005969231,0.0696144205261352,0.14572606569129792,-0.01714673926025139,-0.0570221682550737,0.011458136359857025
asymmetric,random,f3,2000,2000,one_book,4000,1137.3861755636717,18,9460,0.5864677722792943,0.4593043191622955,0.708825975022853,0.10184479918867477,0.07121579469589519,0.1362343015706756,-0.013780991736396044,-0.04144082176138676,0.010108460516959746
asymmetric,random,f3,2000,2000,two_books,4000,1771.1515337877097,18,9460,0.6702653714936909,0.5496021259991346,0.7827733194283955,0.08521836884996949,0.05820271610505163,0.11688384700772651,0.0028454386023092364,-0.02035684234625179,0.02303243048549464
